Reports,,,,,,,,Results,,,,,,,,,,,,,,,
,Report ID,BUGID,County,FIPS,Month,Year,,,Result ID,Bug,Tested,Infected,Species,,Gerstaeckeri ,1,,Indictiva ,2,Lecticularia ,3,Sanguisuga ,4
,,1,Jim Wells,48249,July,2012,,,,95,0,,gerstaeckeri,,,,,,,,,,
,,2,Bandera,48019,July,2012,,,,96,0,,gerstaeckeri,,Species ID,Bug ID,Month ID,Year ID,FIPS,Tested,Infected,,
,,3,Bandera,48019,June,2012,,,,97,0,,gerstaeckeri,,,,,,,,,,
,,4,Bandera,48019,,2012,,,,98,0,,gerstaeckeri,,,,,,,,,,
,,5,Blanco,48031,July,2012,,,,99,0,,lecticularia,,,,,,,,,,
,,6,Hildago,48215,September,2012,,,,100,0,,gerstaeckeri,,Month-Date,,,Year-Date,,,,,
,,7,Brazos,48041,December,2012,,,,PS001,0,,sanguisuga,,Month,MonthID,,Year-Date,YearID,,,,
,,8,Hildago,48215,April,2013,,,,Parker001,0,,gerstaeckeri,,January,1,,2013,1,,,,
,,9,Hildago,48215,April,2013,,,,Parker002,0,,gerstaeckeri,,February,2,,2014,2,,,,
,,10,,,,,,,,Parker002-2,0,,,,March,3,,,,,,,
,,11,Hildago,48215,April,2013,,,,Parker003,0,,gerstaeckeri,,April,4,,,,,,,
,,12,Hildago,48215,April,2013,,,,Parker004,0,,gerstaeckeri,,May,5,,,,,,,
,,13,Hildago,48215,April,2013,,,,Parker005,0,,gerstaeckeri,,June,6,,,,,,,
,,14,Hildago,48215,April,2013,,,,Parker006,0,,gerstaeckeri,,July,7,,,,,,,
,,15,Hildago,48215,April,2013,,,,Parker007,0,,gerstaeckeri,,August,8,,,,,,,
,,16,Hildago,48215,April,2013,,,,Parker008,0,,gerstaeckeri,,September ,9,,,,,,,
,,17,Hildago,48215,April,2013,,,,Parker009,0,,gerstaeckeri,,October,10,,,,,,,
,,18,Hildago,48215,April,2013,,,,Parker010,0,,gerstaeckeri,,November,11,,,,,,,
